stn_code,state,location,type,so2,no2,date,rainfall,high_level
,Maharashtra,Navi Mumbai,Others,12.0,17.0,21/08/2008,69.77689705,1
334,Gujarat,Vadodara,Industrial,24.0,48.0,02/03/2010,,1
,Karnataka,Hubli-Dharwad,Others,,6.8,08/02/2007,79.57520588,0
,Chandigarh,Chandigarh,Others,,11.0,08/05/2005,108.0090901,0
598,Karnataka,Bangalore,Sensitive,9.0,19.0,18/02/2014,93.58979757,0
778,Goa,Tilamol,Residential,5.0,10.0,07/11/2013,90.49973409,0
302,Punjab,Gobindgarh,Residential,9.0,44.0,10/04/2012,61.57975253,1
,Puducherry,Pondicherry,Others,3.2,7.3,27/03/2008,74.8284208,0
646,Maharashtra,Jalgaon,Industrial,18.0,46.0,26/06/2013,95.22763212,0
420,Punjab,Naya Nangal,Residential,5.0,16.0,24/11/2015,94.0593103,1
327,Goa,Panaji,Residential,,30.0,13/01/2010,92.08210427,1
328,Karnataka,Mysore,Industrial,11.0,20.0,26/09/2011,119.1430433,0
,Uttar Pradesh,Noida,Industrial,27.3,53.2,13/03/2006,42.88165501,1
,Madhya Pradesh,Indore,Others,6.1,11.6,14/02/2009,50.11469868,1
,Maharashtra,Navi Mumbai,Industrial,7.7,12.5,13/08/2007,116.282261,0
513,Maharashtra,Aurangabad,Residential,10.0,38.0,27/06/2014,86.04072889,0
600,Punjab,Patiala,Industrial,6.0,22.0,09/09/2010,60.0180819,1
,Chandigarh,Chandigarh,Others,,9.3,02/11/2009,50.97645743,0
369,Uttar Pradesh,Ghaziabad,Industrial,24.0,37.0,08/11/2014,121.5900719,1
641,Maharashtra,Latur,Industrial,7.0,17.0,06/09/2012,102.1142537,0
,Rajasthan,Udaipur,Others,6.3,56.6,14/03/2005,93.17456321,0
729,Uttar Pradesh,Gorakhpur,Industrial,20.0,33.0,08/09/2012,,1
,Rajasthan,Jodhpur,Others,5.6,21.1,11/04/2006,99.7556821,1
,Kerala,Kochi,Industrial,,26.41611956,08/07/2006,73.17568716,0
,Rajasthan,Jodhpur,Others,5.4,26.1,18/10/2008,65.84331605,1
,Madhya Pradesh,Ujjain,Industrial,15.5,16.5,16/12/2008,,1
,Gujarat,Jamnagar,Others,9.7,26.9,06/02/2008,,1
,Himachal Pradesh,Shimla,Sensitive,5.9,26.41611956,18/05/2007,78.44695638,0
,Karnataka,Hubli-Dharwad,Others,,26.41611956,07/06/2006,65.84179897,0
397,Uttar Pradesh,Lucknow,Residential,8.0,28.0,01/10/2015,65.41689017,1
,Assam,Guwahati,Others,6.8,14.0,14/08/2006,96.82237291,0
60,Delhi,Delhi,Residential,8.0,37.0,29/01/2003,,0
,Himachal Pradesh,Shimla,Others,5.7,12.0,22/06/2006,106.3758233,1
,Maharashtra,Nagpur,Industrial,9.5,36.1,16/02/2005,99.42075739,0
,Himachal Pradesh,Damtal,Others,,22.4,13/04/2007,75.54648707,0
379,Maharashtra,Pune,Residential,36.0,56.0,12/03/2010,89.8083701,1
427,Odisha,Sambalpur,Residential,5.0,12.0,09/04/2013,64.02748009,0
