stn_code,state,location,type,so2,no2,date,rainfall
527,Madhya Pradesh,Ujjain,Industrial,7.8,9.1,13/10/2011,98.90376007
258,Uttar Pradesh,Ghaziabad,Industrial,35.0,39.0,24/05/2011,126.2447803
638,Maharashtra,Chandrapur,Industrial,15.0,10.0,21/07/2011,105.8167906
537,Assam,Sivasagar,Residential,6.0,14.5,08/05/2013,49.44931544
376,Rajasthan,Jodhpur,Residential,4.0,19.0,23/07/2004,86.03551468
178,Punjab,Jalandhar,Industrial,9.0,24.0,02/10/2004,100.4102348
403,Uttar Pradesh,Noida,Residential,11.0,49.0,26/07/2011,
332,Jharkhand,Jharia,Industrial,13.2,46.32,11/03/2004,91.43092878
95,Andhra Pradesh,Hyderabad,Industrial,6.4,64.5,27/02/2004,42.99659407
,Chandigarh,Chandigarh,Others,,26.41611956,18/12/2009,73.6312117
512,Maharashtra,Aurangabad,Sensitive,6.0,21.0,04/05/2010,56.40983689
,Maharashtra,Nagpur,Others,,26.41611956,02/03/2006,61.63340151
,Maharashtra,Thane,Others,9.7,13.5,02/07/2009,78.32365033
,Maharashtra,Nagpur,Industrial,,24.8,27/03/2009,112.9877963
,Himachal Pradesh,Shimla,Others,9.2,11.8,03/02/2006,78.78535989
487,Punjab,Amritsar,Industrial,15.3,34.8,02/09/2011,49.24038617
510,Maharashtra,Kolhapur,Residential,20.0,24.0,19/05/2010,114.1846058
,Maharashtra,Navi Mumbai,Industrial,24.0,53.5,03/11/2009,51.10389901
306,Tamil Nadu,Madurai,Residential,11.35,23.0,15/11/2010,85.48776572
,Madhya Pradesh,Indore,Others,14.8,20.9,12/03/2009,104.8530168
,Gujarat,Vapi,Others,25.1,32.0,22/01/2007,81.31660264
274,Rajasthan,Jodhpur,Industrial,6.0,22.0,15/04/2013,67.00531947
,Himachal Pradesh,Paonta Sahib,Industrial,,13.0,17/11/2006,70.67191509
,Maharashtra,Solapur,Industrial,15.2,31.7,06/12/2007,
6,Uttar Pradesh,Anpara,Industrial,18.0,29.0,17/01/2013,75.62918625
,Karnataka,Bangalore,Others,17.4,45.1,05/02/2009,
,Uttar Pradesh,Jhansi,Others,8.7,28.5,17/11/2008,68.72543034
,Uttar Pradesh,Firozabad,Others,24.7,39.3,16/03/2009,68.65767477
611,Jharkhand,Dhanbad,Industrial,16.0,33.0,05/11/2013,69.9365173
396,Maharashtra,Chandrapur,Residential,3.0,22.0,19/11/2015,95.3550078
