Ca_ICP_PCT,K_ICP_PCT,pH
2.72,0.03,2
0.35,0.08,0
0.4,0.08,0
0.59,0.04,0
2.39,0.03,2
0.28,0.21,1
0.23,0.05,2
0.98,0.02,1
0.63,0.06,2
1.99,0.09,2
0.68,0.06,0
0.28,0.08,0
1.99,0.02,2
0.19,0.4,1
0.59,0.06,0
0.35,0.05,0
0.43,0.24,1
0.4,0.06,1
0.77,0.07,2
0.33,0.3,1
1.56,0.09,2
0.78,0.04,1
0.67,0.11,0
1.18,0.04,0
0.87,0.05,1
0.49,0.05,0
0.26,0.05,1
0.74,0.24,1
1.74,0.06,2
1.18,0.08,0
1.1126208165286915,0.1054411660652374,0
1.41,0.16,0
2.54,0.02,2
0.23,0.16,1
0.56,0.04,1
1.1126208165286915,0.1054411660652374,0
0.41,0.09,0
0.8,0.04,0
0.57,0.06,1
0.37,0.06,0
2.69,0.14,2
0.56,0.28,1
2.22,0.22,0
2.13,0.12,2
0.54,0.1,2
0.66,0.58,1
1.1126208165286915,0.1054411660652374,0
0.83,0.16,0
0.82,0.16,0
0.38,0.1,1
2.16,0.02,2
0.07,0.05,2
2.8,0.08,2
0.83,0.08,1
2.96,0.01,2
0.38,0.07,0
0.49,0.07,0
1.6,0.08,2
0.78,0.07,0
0.59,0.54,1
0.8,0.07,2
3.61,-0.01,2
0.51,0.38,1
0.48,0.03,0
0.62,0.18,1
1.1126208165286915,0.1054411660652374,2
0.14,0.28,1
0.57,0.05,0
1.3,0.07,1
0.49,0.31,1
0.36,0.09,2
0.9,0.09,0
4.81,0.02,2
2.64,0.12,2
1.9,0.12,2
1.1126208165286915,0.1054411660652374,0
0.7,0.07,1
0.35,0.08,0
3.15,0.02,2
0.57,0.08,0
2.41,0.01,2
1.65,0.07,2
1.1126208165286915,0.1054411660652374,0
3.51,0.22,0
0.61,0.02,0
1.1126208165286915,0.1054411660652374,0
0.7,0.04,0
1.1126208165286915,0.1054411660652374,0
0.4,0.03,0
0.43,0.05,0
0.36,0.05,2
1.2,0.13,0
2.02,0.05,2
4.21,0.06,2
0.34,0.07,0
0.41,0.05,0
0.18,0.12,0
0.45,0.04,0
0.22,0.25,1
0.3,0.08,0
0.32,0.33,1
1.61,0.03,2
1.6,0.06,2
0.52,0.05,2
0.68,0.41,1
0.85,0.19,0
1.1126208165286915,0.1054411660652374,0
0.37,0.24,1
