Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Glazing Area,Average Temperature
0.98,514.5,294.0,110.25,7.0,0.0,18.44
0.98,514.5,294.0,110.25,7.0,0.0,18.44
0.98,514.5,294.0,110.25,7.0,0.0,18.44
0.98,514.5,294.0,110.25,7.0,0.0,18.44
0.9,563.5,318.5,122.5,7.0,0.0,24.56
0.9,563.5,318.5,122.5,7.0,0.0,23.42
0.9,563.5,318.5,122.5,7.0,0.0,22.935
0.9,563.5,318.5,122.5,7.0,0.0,24.64
0.86,588.0,294.0,147.0,7.0,0.0,23.4
0.86,588.0,294.0,147.0,7.0,0.0,20.96
0.86,588.0,294.0,147.0,7.0,0.0,21.415
0.86,588.0,294.0,147.0,7.0,0.0,23.09
0.82,612.5,318.5,147.0,7.0,0.0,20.41
0.82,612.5,318.5,147.0,7.0,0.0,19.435
0.82,612.5,318.5,147.0,7.0,0.0,19.055
0.82,612.5,318.5,147.0,7.0,0.0,20.455
0.79,637.0,343.0,147.0,7.0,0.0,33.125
0.79,637.0,343.0,147.0,7.0,0.0,30.585
0.79,637.0,343.0,147.0,7.0,0.0,30.28
0.79,637.0,343.0,147.0,7.0,0.0,34.095
0.76,661.5,416.5,122.5,7.0,0.0,27.28
0.76,661.5,416.5,122.5,7.0,0.0,26.805
0.76,661.5,416.5,122.5,7.0,0.0,27.28
0.76,661.5,416.5,122.5,7.0,0.0,26.665
0.74,686.0,245.0,220.5,3.5,0.0,8.485
0.74,686.0,245.0,220.5,3.5,0.0,8.62
0.74,686.0,245.0,220.5,3.5,0.0,8.475
0.74,686.0,245.0,220.5,3.5,0.0,8.605
0.71,710.5,269.5,220.5,3.5,0.0,8.82
0.71,710.5,269.5,220.5,3.5,0.0,9.06
0.71,710.5,269.5,220.5,3.5,0.0,8.83
0.71,710.5,269.5,220.5,3.5,0.0,9.035
0.69,735.0,294.0,220.5,3.5,0.0,9.295
0.69,735.0,294.0,220.5,3.5,0.0,9.42
0.69,735.0,294.0,220.5,3.5,0.0,9.25
0.69,735.0,294.0,220.5,3.5,0.0,9.37
0.66,759.5,318.5,220.5,3.5,0.0,9.79
0.66,759.5,318.5,220.5,3.5,0.0,9.665
0.66,759.5,318.5,220.5,3.5,0.0,9.75
0.66,759.5,318.5,220.5,3.5,0.0,9.62
0.64,784.0,343.0,220.5,3.5,0.0,13.815
0.64,784.0,343.0,220.5,3.5,0.0,13.67
0.64,784.0,343.0,220.5,3.5,0.0,13.76
0.64,784.0,343.0,220.5,3.5,0.0,13.615000000000002
0.62,808.5,367.5,220.5,3.5,0.0,10.335
0.62,808.5,367.5,220.5,3.5,0.0,10.355
0.62,808.5,367.5,220.5,3.5,0.0,10.265
0.62,808.5,367.5,220.5,3.5,0.0,10.27
0.98,514.5,294.0,110.25,7.0,0.1,25.525
0.98,514.5,294.0,110.25,7.0,0.1,25.5
0.98,514.5,294.0,110.25,7.0,0.1,25.535
0.98,514.5,294.0,110.25,7.0,0.1,25.44
0.9,563.5,318.5,122.5,7.0,0.1,30.975
0.9,563.5,318.5,122.5,7.0,0.1,29.87
0.9,563.5,318.5,122.5,7.0,0.1,29.36
0.9,563.5,318.5,122.5,7.0,0.1,31.21
