Date,SBUX,WMT,WST,TSLA,GME
2023-02-10,107.09,143.72,271.14,196.89,19.27
2023-02-09,106.05,141.52,267.43,207.32,19.67
2023-02-08,106.3,140.22,265.07,201.29,21.1
2023-02-07,106.825,140.98,272.38,196.81,21.22
2023-02-06,105.02,140.68,268.17,194.76,23.86
2023-02-03,104.3,141.71,272.88,189.98,22.25
2023-02-02,109.15,143.62,281.88,188.27,22.7
2023-02-01,109.99,144.67,271.59,181.41,21.83
2023-01-31,109.14,143.87,265.6,173.22,21.87
2023-01-30,108.4,142.15,261.82,166.66,21.25
2023-01-27,109.02,143.3,268.62,177.9,22.82
2023-01-26,108.76,142.21,270.09,160.27,20.01
2023-01-25,106.98,142.34,260.47,144.43,20.23
2023-01-24,106.64,143.02,258.33,143.89,21.4
2023-01-23,106.21,142.64,264.11,143.75,21.66
2023-01-20,105.04,140.54,259.55,133.42,19.61
2023-01-19,104.26,138.83,254.78,127.17,19.04
2023-01-18,105.0,140.84,254.51,128.78,20.79
2023-01-17,106.75,144.41,253.04,131.49,21.8
2023-01-13,107.23,145.29,250.7,122.4,20.49
2023-01-12,105.85,144.81,248.09,123.56,20.63
2023-01-11,106.3,146.13,251.35,123.22,19.04
2023-01-10,106.0,144.86,245.93,118.85,17.77
2023-01-09,104.74,144.95,240.73,119.77,16.38
2023-01-06,106.69,146.78,232.5,113.06,16.46
2023-01-05,104.43,143.27,233.7,110.34,16.22
2023-01-04,104.46,143.76,241.14,113.64,17.32
2023-01-03,100.83,143.6,234.41,108.1,17.2
2022-12-30,99.2,141.79,235.35,123.18,18.46
2022-12-29,99.77,142.15,238.98,121.82,18.33
2022-12-28,98.6,141.29,231.24,112.71,17.92
2022-12-27,99.2,143.81,236.73,109.1,18.2
2022-12-23,98.27,143.77,235.13,123.15,20.08
2022-12-22,97.76,143.48,235.26,125.35,19.81
2022-12-21,98.67,145.18,234.68,137.57,20.56
2022-12-20,98.0,144.05,227.79,137.8,20.26
2022-12-19,98.3,142.8,228.23,149.87,19.92
2022-12-16,98.83,142.75,226.1,150.23,20.8
2022-12-15,99.99,145.36,237.08,157.67,20.58
2022-12-14,102.19,146.67,243.58,156.8,21.05
2022-12-13,102.11,147.49,251.9,160.95,21.0
2022-12-12,102.7,148.02,241.28,167.82,22.67
2022-12-09,101.79,145.31,239.01,179.05,22.63
2022-12-08,103.74,148.78,236.03,173.44,24.79
2022-12-07,101.87,148.55,235.89,174.04,22.26
2022-12-06,102.08,149.327,234.99,179.82,23.39
2022-12-05,103.55,151.08,239.44,182.45,25.56
