Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0012-il-1000000-n5
Airfoil,n0012-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,75.4394
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n0012-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.250,-1.2322,0.11416,0.11116,0.0052,1.0000,0.0103
-19.000,-1.2711,0.10336,0.10020,-0.0004,1.0000,0.0103
-18.750,-1.3084,0.09309,0.08977,-0.0057,1.0000,0.0103
-18.500,-1.3433,0.08350,0.08002,-0.0106,1.0000,0.0102
-18.250,-1.3730,0.07497,0.07133,-0.0150,1.0000,0.0102
-18.000,-1.3978,0.06745,0.06366,-0.0188,1.0000,0.0102
-17.750,-1.4170,0.06096,0.05702,-0.0221,1.0000,0.0103
-17.500,-1.4317,0.05530,0.05123,-0.0249,1.0000,0.0103
-17.250,-1.4420,0.05042,0.04621,-0.0272,1.0000,0.0104
-17.000,-1.4487,0.04625,0.04192,-0.0289,1.0000,0.0105
-16.750,-1.4524,0.04263,0.03818,-0.0303,1.0000,0.0106
-16.500,-1.4536,0.03953,0.03497,-0.0312,1.0000,0.0107
-16.250,-1.4526,0.03684,0.03218,-0.0316,1.0000,0.0109
-16.000,-1.4496,0.03454,0.02978,-0.0317,1.0000,0.0110
-15.750,-1.4453,0.03254,0.02768,-0.0314,1.0000,0.0111
-15.500,-1.4413,0.03064,0.02568,-0.0308,1.0000,0.0113
-15.250,-1.4375,0.02886,0.02382,-0.0298,1.0000,0.0115
-15.000,-1.4313,0.02740,0.02228,-0.0286,1.0000,0.0117
-14.750,-1.4233,0.02616,0.02097,-0.0272,1.0000,0.0119
-14.500,-1.4140,0.02508,0.01983,-0.0257,1.0000,0.0122
-14.250,-1.4035,0.02413,0.01881,-0.0240,1.0000,0.0124
-14.000,-1.3922,0.02328,0.01790,-0.0222,1.0000,0.0127
-13.750,-1.3800,0.02252,0.01708,-0.0204,1.0000,0.0129
-13.500,-1.3670,0.02183,0.01633,-0.0185,1.0000,0.0132
-13.250,-1.3515,0.02118,0.01561,-0.0170,1.0000,0.0135
-13.000,-1.3339,0.02057,0.01494,-0.0158,1.0000,0.0137
